grid_id,slope_degrees,aspect_class,land_cover_class,soil_texture_class,drainage_distance_m
LS-00028,25.670091575148412,N,Tree cover,clay loam,11403.143704424232
LS-00029,23.385218188073686,E,Tree cover,clay loam,11674.004084084581
LS-00030,22.709163431399613,NE,Tree cover,clay loam,11403.143704424232
LS-00031,28.50394782750905,N,Tree cover,clay loam,11403.143704424232
LS-00032,29.52712943822588,N,Tree cover,clay loam,11671.496117606242
LS-00033,28.153459068066326,SE,Tree cover,clay loam,11444.361201256681
LS-00034,27.146587765332562,E,Tree cover,clay loam,11444.361201256685
LS-00035,24.610372899249064,S,Tree cover,clay loam,11424.817928222954
LS-00036,26.670831705016564,NE,Tree cover,clay loam,11345.562761665804
LS-00037,30.188453939519874,NE,Tree cover,clay loam,11403.143704424232
LS-00038,26.070725567959215,N,Tree cover,clay loam,11403.143704424232
LS-00039,28.57166367132687,NE,Tree cover,clay loam,11403.143704424232
LS-00040,29.836821548467217,NE,Tree cover,clay loam,11342.365947357075
LS-00041,27.43009288499491,NE,Tree cover,clay loam,11403.143704424232
LS-00042,23.679296257186344,SE,Tree cover,clay loam,11403.143704424232
LS-00043,16.987790209475307,NE,Tree cover,clay loam,11091.961588240378
LS-00044,29.4366984628463,NE,Tree cover,clay loam,11091.961588240378
LS-00045,30.46215639836702,E,Tree cover,clay loam,11091.961588240378
LS-00046,32.68825909631757,E,Tree cover,clay loam,11091.961588240378
LS-00047,32.22987742827438,SE,Tree cover,clay loam,10794.609123138327
LS-00048,28.2969410048039,SE,Tree cover,clay loam,10784.132258576754
LS-00049,27.720347093535178,N,Tree cover,clay loam,11403.143704424232
LS-00050,18.147006790738708,NE,Tree cover,clay loam,11670.030678369883
LS-00051,22.597029139363983,NE,Tree cover,clay loam,11403.143704424232
LS-00052,22.604340705448173,SE,Tree cover,clay loam,11403.143704424232
LS-00053,28.89391124934186,SE,Tree cover,clay loam,11114.153802903316
LS-00054,27.560047658548868,S,Tree cover,clay loam,11384.103474298563
LS-00055,30.414324364753078,SE,Tree cover,clay loam,11114.153802903316
LS-00056,32.781368258922015,S,Tree cover,clay loam,11072.86953125747
LS-00057,31.30810943759649,SE,Tree cover,clay loam,11342.548232142484
LS-00058,31.475867658551874,SE,Tree cover,clay loam,11072.86953125747
LS-00059,26.01576268822866,E,Tree cover,clay loam,11339.686959163213
LS-00060,22.632549177464004,SE,Tree cover,clay loam,11403.143704424232
LS-00061,31.39963621114946,SE,Tree cover,clay loam,11114.153802903316
LS-00062,32.655915355032676,SE,Tree cover,clay loam,11113.02050917186
LS-00063,34.62852821138464,SE,Tree cover,clay loam,11046.581915888546
LS-00064,22.434924063173316,SE,Tree cover,clay loam,11002.70780244697
LS-00065,27.0176586311171,SE,Tree cover,clay loam,11072.86953125747
LS-00066,30.062705480266775,SE,Tree cover,clay loam,11072.86953125747
LS-00067,24.31357266039855,N,Tree cover,clay loam,11072.86953125747
LS-00068,26.75036304701384,N,Tree cover,clay loam,11001.454914432496
LS-00069,18.45803133157583,E,Tree cover,clay loam,11130.046450936312
LS-00070,24.51938310135427,SE,Tree cover,clay loam,11499.783097360138
LS-00071,22.91750467079675,SE,Tree cover,clay loam,11499.783097360138
LS-00072,24.750763165566763,SE,Tree cover,clay loam,11498.338813585042
LS-00073,14.803178625899314,SE,Tree cover,clay loam,11498.338813585042
LS-00074,22.189701136517975,SE,Tree cover,clay loam,11550.952008249147
LS-00075,29.100927456738052,SE,Tree cover,clay loam,11550.952008249147
LS-00076,24.082478637007497,SE,Tree cover,clay loam,11550.952008249147
LS-00077,30.775255889865704,SE,Tree cover,clay loam,11550.952008249147
LS-00078,24.807719752461175,SE,Tree cover,sandy clay loam,11550.952008249147
LS-00079,17.335788751285275,SE,Tree cover,clay loam,11130.046450936312
LS-00080,21.827893316001735,SE,Tree cover,clay loam,11146.380730094394
LS-00081,27.44308302702925,SE,Tree cover,clay loam,11515.465081079774
LS-00082,29.61769415813354,SE,Tree cover,clay loam,11690.465907475005
LS-00083,29.252518550216674,S,Tree cover,clay loam,11550.952008249147
LS-00084,26.717828208299018,SE,Tree cover,clay loam,11742.190855787943
LS-00085,28.62134943232099,SE,Tree cover,clay loam,11569.627676954107
LS-00086,21.196569054916957,SE,Tree cover,clay loam,11550.952008249147
LS-00087,18.896357479604706,SE,Tree cover,clay loam,11742.190855787943
LS-00088,23.49663271321999,SE,Tree cover,clay loam,11571.04324904116
LS-00089,23.331374212045446,NE,Tree cover,clay loam,11742.190855787943
LS-00090,28.8261620203654,N,Tree cover,clay loam,11742.190855787943
LS-00091,22.975679016906355,N,Tree cover,clay loam,11742.190855787943
LS-00092,24.437121145186893,N,Tree cover,clay loam,11742.190855787943
LS-00093,21.184977623553138,N,Tree cover,sandy clay loam,11742.190855787943
LS-00094,27.81917164058898,N,Tree cover,clay loam,11742.190855787943
LS-00095,18.85833335228986,NE,Tree cover,clay loam,11726.416843918394
LS-00096,25.221516661787877,SE,Tree cover,sandy clay loam,11726.354985048318
LS-00097,26.461782479236625,SE,Tree cover,clay loam,11724.163413651313
LS-00098,26.40194146868675,E,Tree cover,clay loam,11724.163413651313
LS-00099,26.42000977187018,E,Tree cover,clay loam,11550.952008249147
LS-00100,23.299364804969443,SE,Tree cover,sandy clay loam,11550.952008249147
LS-00101,21.581146918454213,N,Tree cover,clay loam,11550.952008249147
LS-00102,23.50073483796246,NE,Tree cover,clay loam,11550.952008249147
LS-00103,25.81170277522771,NE,Tree cover,clay loam,11550.952008249147
LS-00104,22.938747392117406,E,Tree cover,clay loam,11923.259804351585
LS-00105,20.235558605902007,N,Tree cover,clay loam,11926.172926988138
LS-00106,17.120605346399277,NE,Tree cover,clay loam,11921.805477023057
LS-00107,15.678731367146892,SE,Tree cover,sandy clay loam,11974.78454399076
LS-00108,22.596224245228708,SE,Tree cover,sandy clay loam,11974.78454399076
LS-00109,16.478636791866354,SE,Tree cover,clay loam,11550.952008249147
LS-00110,17.556706482060488,NE,Tree cover,clay loam,11571.950783665172
LS-00111,15.848934765457075,N,Tree cover,clay loam,11742.190855787943
LS-00112,15.068447429385921,NE,Tree cover,clay loam,11573.450696194888
LS-00113,28.640212258888894,N,Tree cover,clay loam,11897.381897884978
LS-00114,18.93281467083257,E,Tree cover,clay loam,11923.259804351585
LS-00115,27.471550911246425,NW,Tree cover,clay loam,11726.416843918392
LS-00116,23.32027068807067,NW,Tree cover,clay loam,11941.498925117552
LS-00117,17.8656758355004,SE,Tree cover,clay loam,11724.163413651313
LS-00118,19.560456563629486,N,Tree cover,clay loam,11724.163413651313
LS-00119,30.786503156246898,N,Tree cover,clay loam,11974.78454399076
LS-00120,21.61559277446586,E,Tree cover,clay loam,11974.78454399076
LS-00121,19.383292680803162,N,Tree cover,sandy clay loam,11974.78454399076
LS-00122,20.731291436785302,NW,Tree cover,sandy clay loam,11974.78454399076
LS-00123,21.044313954394795,N,Tree cover,clay loam,11974.78454399076
LS-00124,13.320384680304535,NE,Tree cover,clay loam,11974.78454399076
LS-00125,15.203642487069194,NW,Tree cover,sandy clay loam,11974.78454399076
LS-00126,18.890571116409774,NE,Tree cover,sandy clay loam,11974.78454399076
LS-00127,13.606761222900161,SE,Tree cover,sandy clay loam,11724.214797802026
LS-00128,13.597974806607558,E,Tree cover,clay loam,11724.214797802026
LS-00129,18.570907415887763,SE,Tree cover,clay loam,11974.78454399076
LS-00130,18.334683814425734,SE,Tree cover,clay loam,11940.519936327164
LS-00131,16.628058978135293,SE,Tree cover,clay loam,11724.163413651313
LS-00132,18.079499274450924,NE,Tree cover,clay loam,11974.78454399076
LS-00133,17.692656599093773,N,Tree cover,clay loam,11938.419909392489
LS-00134,20.93069805837884,SE,Tree cover,loam,11443.15878444435
LS-00135,19.992469423112983,SE,Tree cover,sandy clay loam,11708.005455131255
LS-00136,13.01146893560804,SE,Tree cover,sandy clay loam,11748.290894410908
LS-00137,27.242985184128216,SE,Tree cover,loam,11403.193681623803
LS-00138,15.384642999672188,SE,Tree cover,sandy clay loam,11724.214797802026
LS-00139,27.94055997072471,NE,Tree cover,clay loam,11724.163413651313
LS-00140,24.042588204848123,NE,Tree cover,clay loam,11724.163413651313
LS-00141,14.158061120281936,NE,Tree cover,clay loam,11724.163413651313
LS-00142,21.87390114518241,NE,Tree cover,clay loam,11724.163413651313
LS-00143,22.332859502926567,S,Tree cover,loam,11443.314898127242
LS-00144,27.900833268038177,SE,Tree cover,clay loam,11442.213531399695
LS-00145,28.43171029714425,SE,Tree cover,clay loam,11403.193681623803
LS-00146,28.14995500828628,S,Tree cover,loam,11403.193681623803
LS-00147,27.349436328745085,S,Tree cover,clay loam,11403.193681623803
LS-00148,21.801950304088248,SE,Tree cover,loam,11403.193681623803
LS-00149,15.838552758464616,SE,Tree cover,sandy clay loam,11724.214797802026
LS-00150,13.592683682329278,SE,Tree cover,clay loam,11724.214797802026
LS-00151,19.128249945157773,SE,Tree cover,loam,11724.214797802026
LS-00152,18.341486625525835,E,Tree cover,sandy clay loam,11724.214797802026
LS-00153,28.09407914830213,SE,Tree cover,sandy clay loam,11724.214797802026
LS-00154,23.17725335410828,SE,Tree cover,sandy clay loam,11724.214797802026
LS-00155,26.69691704843973,SE,Tree cover,loam,11724.214797802026
LS-00156,13.9384969729987,SE,Tree cover,sandy clay loam,11724.214797802026
LS-00157,18.300441548073877,SE,Tree cover,loam,11724.214797802026
LS-00158,16.07555010845543,E,Tree cover,sandy clay loam,11724.214797802026
LS-00159,25.797853299159776,SE,Tree cover,sandy clay loam,11677.208134361643
LS-00160,18.77967887263571,SE,Tree cover,loam,11724.214797802026
LS-00161,30.71774324104686,SE,Tree cover,clay loam,11403.193681623803
LS-00162,25.183010335148694,SE,Tree cover,loam,11665.847322133259
LS-00163,27.772589644798053,SE,Tree cover,loam,11669.039293458894
LS-00164,21.835491287852907,SE,Tree cover,clay loam,11403.193681623803
LS-00165,28.845092139694575,SE,Tree cover,loam,11724.214797802026
LS-00166,21.50567164926439,N,Tree cover,loam,11724.214797802026
LS-00167,23.208040932331702,N,Tree cover,loam,11666.53131598875
LS-00168,25.412076893196687,N,Tree cover,loam,11403.193681623803
LS-00169,26.529474535892753,NE,Tree cover,clay loam,10752.13019955232
LS-00170,35.21384321946031,NE,Tree cover,clay loam,10752.13019955232
LS-00171,25.98510084499313,NE,Tree cover,clay loam,10752.13019955232
LS-00172,30.233489132092767,NE,Tree cover,clay loam,10752.13019955232
LS-00173,33.90276183539014,NE,Tree cover,clay loam,10752.13019955232
LS-00174,26.642767499927015,NE,Tree cover,clay loam,10752.13019955232
LS-00175,26.972912735204776,E,Tree cover,clay loam,10752.13019955232
LS-00176,26.846378049959146,SE,Tree cover,clay loam,10752.13019955232
LS-00177,26.412943332591404,NE,Tree cover,clay loam,10752.13019955232
LS-00178,26.344352622625077,NE,Tree cover,clay loam,10752.13019955232
LS-00179,26.666337161388213,SE,Tree cover,clay loam,10462.889971843237
LS-00180,27.383223403057976,E,Tree cover,clay loam,10461.755696440456
LS-00181,33.30014645244201,E,Tree cover,clay loam,10752.13019955232
LS-00182,36.959430636446086,E,Tree cover,clay loam,10752.13019955232
LS-00183,33.31610188636304,NE,Tree cover,clay loam,10752.13019955232
LS-00184,31.517374730185853,E,Tree cover,clay loam,10452.485647105499
LS-00185,35.158962804885746,SE,Tree cover,clay loam,10421.569939313367
LS-00186,19.369811561102782,N,Tree cover,clay loam,10410.52088348719
LS-00187,25.287121098514405,SE,Tree cover,clay loam,10421.569939313367
LS-00188,23.690485386831476,NE,Tree cover,clay loam,10421.569939313367
LS-00189,28.266209544156684,NE,Tree cover,clay loam,10421.569939313367
LS-00190,27.765412094865347,N,Tree cover,clay loam,10328.218467648116
LS-00191,31.35855068160508,NE,Tree cover,clay loam,10421.569939313367
LS-00192,31.700052632115742,NE,Tree cover,clay loam,10324.814873980617
LS-00193,27.387490230224564,N,Tree cover,clay loam,10421.569939313367
LS-00194,28.56475584671415,E,Tree cover,clay loam,10039.527220310543
LS-00195,17.772584605843978,NE,Tree cover,clay loam,10101.147320354257
LS-00196,23.657613368082256,NE,Tree cover,clay loam,10101.147320354257
LS-00197,34.267689911715955,SW,Tree cover,clay loam,10101.147320354257
LS-00198,15.68034811390743,SW,Tree cover,clay loam,10101.147320354257
LS-00199,28.039875813066217,N,Tree cover,clay loam,9811.624973168755
LS-00200,16.3716872525113,SW,Tree cover,clay loam,9794.827981098728
LS-00201,31.6587584622015,N,Tree cover,clay loam,9811.624973168755
LS-00202,33.93514930042312,SW,Tree cover,clay loam,9770.26463785654
LS-00203,26.989349581695894,SW,Tree cover,clay loam,9692.05942826183
LS-00204,28.38900982786523,E,Tree cover,clay loam,9659.811848009198
LS-00205,34.811738288432885,NE,Tree cover,clay loam,9450.20257636708
LS-00206,25.705009530222203,NE,Tree cover,clay loam,9656.492576936458
LS-00207,33.6844428652494,N,Tree cover,clay loam,9490.246573793058
LS-00208,21.497782015339684,N,Tree cover,clay loam,11072.86953125747
LS-00209,21.21591976553639,SE,Tree cover,clay loam,11072.86953125747
LS-00210,22.1825040304888,SE,Tree cover,loam,11339.967574717748
LS-00211,29.11603206702641,N,Tree cover,clay loam,11072.86953125747
LS-00212,23.30172168225443,NE,Tree cover,clay loam,11072.86953125747
LS-00213,28.68587447180458,N,Tree cover,loam,11337.642974741768
LS-00214,20.141584514083544,SE,Tree cover,clay loam,11072.86953125747
LS-00215,16.226061279003233,E,Tree cover,clay loam,11072.86953125747
LS-00216,14.239535839853545,SE,Tree cover,loam,11335.83346272557
LS-00217,21.41405835693984,SE,Tree cover,clay loam,10792.263849124327
LS-00218,29.300023309480714,N,Tree cover,clay loam,11072.86953125747
LS-00219,21.669383637413414,E,Tree cover,clay loam,11072.86953125747
LS-00220,17.531683189209687,N,Tree cover,clay loam,11072.86953125747
LS-00221,22.59567496880673,SE,Tree cover,clay loam,10998.94913840355
LS-00222,17.818304411085233,E,Tree cover,clay loam,11072.86953125747
LS-00223,24.355159532593976,NE,Tree cover,clay loam,10997.401453209199
LS-00224,18.39716464603493,E,Tree cover,clay loam,11072.86953125747
LS-00225,25.997175236522178,S,Tree cover,clay loam,10711.051350643442
LS-00226,27.01763609741994,SE,Tree cover,clay loam,10792.263849124329
LS-00227,24.57670219424113,SE,Tree cover,clay loam,10791.16343468459
LS-00228,25.735561289474692,SE,Tree cover,clay loam,10462.889971843237
LS-00229,33.49551946755011,SE,Tree cover,clay loam,10421.569939313367
LS-00230,32.54070662791252,S,Tree cover,clay loam,10421.569939313367
LS-00231,32.41970417567279,S,Tree cover,clay loam,10421.569939313367
LS-00232,24.620526421011462,NE,Tree cover,clay loam,10421.569939313367
LS-00233,20.477810255532123,SE,Tree cover,clay loam,10666.942606971448
LS-00234,21.226832884277286,N,Tree cover,clay loam,10421.569939313367
LS-00235,29.38904358039057,N,Tree cover,clay loam,10421.569939313367
LS-00236,27.270996228633585,NE,Tree cover,clay loam,10421.569939313367
LS-00237,32.731107670787964,N,Tree cover,clay loam,10665.311853638406
LS-00238,20.99791713726505,S,Tree cover,clay loam,10792.263849124329
LS-00239,25.76492529613376,E,Tree cover,loam,11046.179961279253
LS-00240,26.064624961905935,E,Tree cover,clay loam,10752.177323105307
LS-00241,25.02989303479159,SE,Tree cover,loam,11008.769913037422
LS-00242,26.355925025662366,NE,Tree cover,clay loam,10752.177323105307
LS-00243,30.836055373880864,SE,Tree cover,clay loam,10752.177323105307
LS-00244,31.986178010509864,SE,Tree cover,clay loam,10752.177323105307
LS-00245,26.321440344875295,SE,Tree cover,clay loam,10993.947803202329
LS-00246,32.34643510046019,SE,Tree cover,clay loam,10997.744450188777
LS-00247,33.66732797270575,SE,Tree cover,clay loam,10752.177323105307
LS-00248,33.05709458796006,SE,Tree cover,clay loam,10752.177323105307
LS-00249,30.23287983991217,SE,Tree cover,clay loam,10752.177323105307
LS-00250,33.69074389923805,S,Tree cover,clay loam,10669.525477157322
LS-00251,25.107672773712505,SE,Tree cover,clay loam,10752.177323105307
LS-00252,33.2125582010011,SE,Tree cover,clay loam,10752.177323105307
LS-00253,25.548700428207447,N,Tree cover,clay loam,10752.177323105307
LS-00254,21.42712215808493,SE,Tree cover,clay loam,10752.177323105307
LS-00255,31.70056988114049,N,Tree cover,clay loam,10752.177323105307
LS-00256,28.813984630757815,N,Tree cover,clay loam,10752.177323105307
LS-00257,16.433849406755733,N,Tree cover,clay loam,10461.80154701224
LS-00258,31.966363626951633,SE,Tree cover,clay loam,10752.177323105307
LS-00259,20.17180049378069,N,Tree cover,clay loam,10752.177323105307
LS-00260,21.186718378179762,SE,Tree cover,clay loam,10752.177323105307
LS-00261,30.2815439557207,SE,Tree cover,clay loam,10996.491556683248
LS-00262,28.579408082816542,NW,Tree cover,clay loam,10421.615613713644
LS-00263,18.3293433381585,N,Tree cover,clay loam,10670.86367902012
LS-00264,34.78473460558549,N,Tree cover,clay loam,10421.615613713644
LS-00265,23.911525131759966,N,Tree cover,sandy clay loam,10668.280797514351
LS-00266,24.991213811088695,N,Tree cover,sandy clay loam,10421.615613713644
LS-00267,32.26357939903477,NW,Tree cover,sandy clay loam,10421.615613713644
LS-00268,24.01989427364885,NE,Tree cover,clay loam,10421.569939313367
LS-00269,24.287489499140353,E,Tree cover,clay loam,10421.569939313367
LS-00270,20.40163214595606,E,Tree cover,clay loam,10421.569939313367
LS-00271,22.105109242011345,N,Tree cover,clay loam,10662.718854549841
LS-00272,20.977450607348462,E,Tree cover,clay loam,10373.71021841577
LS-00273,17.472991970805616,E,Tree cover,clay loam,10141.238884053468
LS-00274,23.97753303027847,N,Tree cover,clay loam,10141.238884053468
LS-00275,22.954153625244818,N,Tree cover,sandy clay loam,10101.19159044491
LS-00276,21.662441941233194,E,Tree cover,sandy clay loam,10330.24470082842
LS-00277,19.303231794719185,N,Tree cover,sandy clay loam,10101.19159044491
LS-00278,25.268190427560576,N,Tree cover,clay loam,10453.377770843807
LS-00279,20.506573038471885,N,Tree cover,sandy clay loam,10421.615613713644
LS-00280,19.022206865833923,E,Tree cover,sandy clay loam,10421.615613713644
LS-00281,19.751432240649773,E,Tree cover,sandy clay loam,10421.615613713644
LS-00282,17.817640434521735,NE,Tree cover,sandy clay loam,10421.615613713644
LS-00283,13.964920580965797,N,Tree cover,sandy clay loam,10421.615613713644
LS-00284,12.397462003604714,E,Tree cover,clay loam,10101.235860341545
LS-00285,17.662099952088877,SE,Tree cover,sandy clay loam,10101.235860341545
LS-00286,18.835033572827893,SE,Tree cover,clay loam,10101.235860341545
LS-00287,18.496220697343144,E,Tree cover,sandy clay loam,10101.235860341545
LS-00288,23.41106811734998,NW,Tree cover,sandy clay loam,10666.989356761469
LS-00289,23.025576677166917,NW,Tree cover,sandy clay loam,10421.615613713644
LS-00290,14.42305788257778,N,Tree cover,sandy clay loam,10421.615613713644
LS-00291,15.219855540288727,N,Tree cover,sandy clay loam,10421.615613713644
LS-00292,15.588819673829617,NW,Tree cover,sandy clay loam,10421.615613713644
LS-00293,15.561163730722257,E,Tree cover,sandy clay loam,10421.615613713644
LS-00294,23.39168518723794,NW,Tree cover,sandy clay loam,10664.406475255702
LS-00295,14.058742389611327,N,Tree cover,sandy clay loam,10348.819585388053
LS-00296,16.77444643749443,NE,Tree cover,clay loam,10101.235860341545
LS-00297,11.554867660801948,N,Tree cover,clay loam,10101.235860341545
LS-00298,21.808939035617882,N,Tree cover,sandy clay loam,10335.07773881625
LS-00299,24.257137716891204,E,Tree cover,sandy clay loam,10101.19159044491
LS-00300,24.324217495948012,N,Tree cover,sandy clay loam,10101.19159044491
LS-00301,29.66409704855142,E,Tree cover,sandy clay loam,10101.19159044491
LS-00302,16.41538983608251,N,Tree cover,sandy clay loam,10320.366387030217
LS-00303,21.795663985000292,E,Tree cover,sandy clay loam,10101.19159044491
LS-00304,22.150706097079222,SE,Tree cover,sandy clay loam,10000.406112576124
LS-00305,24.41805284062707,SE,Tree cover,clay loam,9794.284568507961
LS-00306,19.600773741236676,E,Tree cover,clay loam,9810.87562698552
LS-00307,21.045371921708497,N,Tree cover,clay loam,9770.307457419138
LS-00308,26.82215692826798,N,Tree cover,loam,11403.193681623803
LS-00309,22.671739253746665,N,Tree cover,clay loam,11403.193681623803
LS-00310,25.737677142292707,N,Tree cover,loam,11403.193681623803
LS-00311,18.484526794331973,NE,Tree cover,loam,11403.193681623803
LS-00312,11.602909766247397,E,Tree cover,loam,11072.918060520451
LS-00313,16.740002138480406,E,Tree cover,loam,11104.652728740348
LS-00314,19.512727824995604,SE,Tree cover,loam,11072.918060520451
LS-00315,17.941108011665442,SE,Tree cover,loam,11072.918060520451
LS-00316,23.404986821484574,SE,Tree cover,clay loam,11072.918060520451
LS-00317,18.250791877714835,E,Tree cover,clay loam,11072.918060520451
LS-00318,24.971885174481603,N,Tree cover,loam,11403.243658604337
LS-00319,14.09594541079948,NE,Tree cover,sandy clay loam,11403.243658604337
LS-00320,15.421480398675728,NE,Tree cover,sandy clay loam,11403.243658604337
LS-00321,17.22479699388787,N,Tree cover,loam,11403.243658604337
LS-00322,25.376336447231434,N,Tree cover,sandy clay loam,11403.243658604337
LS-00323,20.993059161740934,NE,Tree cover,sandy clay loam,11403.243658604337
LS-00324,15.156803279908456,SE,Tree cover,loam,11403.243658604337
LS-00325,15.424174877211724,SE,Tree cover,sandy clay loam,11403.243658604337
LS-00326,15.78172092940026,SE,Tree cover,sandy clay loam,11403.243658604337
LS-00327,20.08485839107511,E,Tree cover,loam,11403.243658604337
LS-00328,26.170530520857312,N,Tree cover,loam,11403.243658604337
LS-00329,18.86638683849499,N,Tree cover,loam,11072.918060520451
LS-00330,18.301630740688182,N,Tree cover,loam,11341.307608963609
LS-00331,19.216629022290757,SE,Tree cover,loam,11072.918060520451
LS-00332,11.9459725528635,NE,Tree cover,loam,11338.977978043271
LS-00333,11.34523518141695,E,Tree cover,loam,11403.243658604337
LS-00334,14.992704342487077,SE,Tree cover,loam,11337.436605861063
LS-00335,14.397472884708714,SE,Tree cover,loam,11403.243658604337
LS-00336,17.921088381304834,E,Tree cover,clay loam,11072.918060520451
LS-00337,23.299255315293657,SE,Tree cover,loam,11334.855937126033
LS-00338,14.682240166049063,E,Tree cover,sandy clay loam,11403.243658604337
LS-00339,23.785560209339597,SE,Tree cover,sandy clay loam,11403.243658604337
LS-00340,14.760914218574554,E,Tree cover,sandy clay loam,11403.243658604337
LS-00341,19.097722351240936,SE,Tree cover,sandy clay loam,11403.243658604337
LS-00342,22.99941457690214,E,Tree cover,sandy clay loam,11092.107427693802
LS-00343,18.931249943056162,SE,Tree cover,sandy clay loam,11092.107427693802
LS-00344,22.13372996972669,E,Tree cover,sandy clay loam,11092.107427693802
LS-00345,17.85190549766832,SE,Tree cover,sandy clay loam,11092.107427693802
LS-00346,23.78422928848134,SE,Tree cover,sandy clay loam,11092.107427693802
LS-00347,20.48959063294028,SE,Tree cover,sandy clay loam,11092.107427693802
LS-00348,22.409358943219654,SE,Tree cover,clay loam,11072.918060520451
LS-00349,33.20767074021486,SE,Tree cover,clay loam,11072.918060520451
LS-00350,27.928073652243643,SE,Tree cover,clay loam,11072.918060520451
LS-00351,31.13869702038917,SE,Tree cover,clay loam,11072.918060520451
LS-00352,33.030511766796145,SE,Tree cover,clay loam,11072.918060520451
LS-00353,25.826579861105238,SE,Tree cover,clay loam,10752.224446451766
LS-00354,25.245950768541487,SE,Tree cover,clay loam,10752.224446451766
LS-00355,21.451894938581155,E,Tree cover,clay loam,10752.224446451766
LS-00356,15.345349525263707,E,Tree cover,sandy clay loam,10752.224446451766
LS-00357,18.819271454864005,NW,Tree cover,sandy clay loam,10752.224446451766
LS-00358,20.23325723596376,S,Tree cover,loam,11403.243658604337
LS-00359,26.630049141816933,SE,Tree cover,sandy clay loam,11403.243658604337
LS-00360,27.589727894443083,S,Tree cover,clay loam,11072.918060520451
LS-00361,26.852258462019666,SE,Tree cover,sandy clay loam,11332.275268391
LS-00362,23.353772229880374,SE,Tree cover,clay loam,10752.224446451766
LS-00363,24.026536957406364,E,Tree cover,sandy clay loam,11017.758025547106
LS-00364,19.53941594169159,E,Tree cover,clay loam,10752.224446451766
LS-00365,25.052996580563555,SE,Tree cover,sandy clay loam,11015.102689756155
LS-00366,26.233309355259106,E,Tree cover,clay loam,10752.224446451766
LS-00367,18.739397413912105,NE,Tree cover,sandy clay loam,11012.447353965199
LS-00368,25.335422354172344,SE,Tree cover,sandy clay loam,11092.107427693802
LS-00369,19.714251519903478,NE,Tree cover,sandy clay loam,11092.107427693802
LS-00370,17.191348355483214,SE,Tree cover,sandy clay loam,11092.107427693802
LS-00371,21.88585324127628,SE,Tree cover,sandy clay loam,11092.107427693802
LS-00372,18.113683320811916,E,Tree cover,sandy clay loam,11092.107427693802
LS-00373,14.698604356485905,NE,Tree cover,sandy clay loam,11092.107427693802
LS-00374,10.575899276317035,NE,Tree cover,sandy clay loam,10791.657311611132
LS-00375,15.76981018130184,E,Tree cover,clay loam,10791.657311611132
LS-00376,12.92354412832281,E,Tree cover,sandy clay loam,10791.657311611132
LS-00377,15.082806794619279,E,Tree cover,sandy clay loam,10791.657311611132
LS-00378,19.218316258012315,N,Tree cover,sandy clay loam,11092.107427693802
LS-00379,23.225679536417697,SE,Tree cover,sandy clay loam,11009.792018174245
LS-00380,17.70587727187861,SE,Tree cover,sandy clay loam,11092.107427693802
LS-00381,21.291965783655414,E,Tree cover,clay loam,10752.224446451766
LS-00382,23.103680915330248,E,Tree cover,clay loam,10705.607911232542
LS-00383,20.543976927662758,N,Tree cover,clay loam,10441.996256104481
LS-00384,21.609241145242066,E,Tree cover,clay loam,10791.657311611132
LS-00385,21.47111945840092,N,Tree cover,clay loam,10441.996256104481
LS-00386,21.236286144805703,N,Tree cover,clay loam,10702.876184236397
